# Columns: x  m_tilde  y(=rho/rho_*)  compactness(=m/x)  Phi
# y_c_crit = 9.999992e+03
# Status: x_max
1.647427e-02  8.054520e-03  6.636802e+02  4.889151e-01  1.356269e+00
1.655847e-02  8.099946e-03  6.548809e+02  4.891724e-01  1.362942e+00
1.664306e-02  8.145438e-03  6.462024e+02  4.894196e-01  1.369612e+00
1.672803e-02  8.190996e-03  6.376430e+02  4.896569e-01  1.376279e+00
1.681340e-02  8.236622e-03  6.292013e+02  4.898844e-01  1.382943e+00
1.689917e-02  8.282317e-03  6.208755e+02  4.901020e-01  1.389603e+00
1.698534e-02  8.328081e-03  6.126642e+02  4.903100e-01  1.396260e+00
1.707191e-02  8.373915e-03  6.045658e+02  4.905084e-01  1.402914e+00
1.715889e-02  8.419821e-03  5.965788e+02  4.906973e-01  1.409563e+00
1.724628e-02  8.465799e-03  5.887016e+02  4.908768e-01  1.416209e+00
1.733409e-02  8.511851e-03  5.809329e+02  4.910470e-01  1.422851e+00
1.742231e-02  8.557977e-03  5.732711e+02  4.912080e-01  1.429489e+00
1.751095e-02  8.604179e-03  5.657147e+02  4.913599e-01  1.436124e+00
1.760002e-02  8.650458e-03  5.582625e+02  4.915027e-01  1.442754e+00
1.768952e-02  8.696814e-03  5.509128e+02  4.916367e-01  1.449381e+00
1.777944e-02  8.743250e-03  5.436643e+02  4.917618e-01  1.456003e+00
1.786980e-02  8.789766e-03  5.365157e+02  4.918781e-01  1.462621e+00
1.796060e-02  8.836363e-03  5.294656e+02  4.919858e-01  1.469235e+00
1.805185e-02  8.883043e-03  5.225125e+02  4.920850e-01  1.475844e+00
1.814353e-02  8.929806e-03  5.156553e+02  4.921756e-01  1.482450e+00
1.823567e-02  8.976654e-03  5.088925e+02  4.922579e-01  1.489050e+00
1.832826e-02  9.023588e-03  5.022229e+02  4.923319e-01  1.495647e+00
1.842131e-02  9.070610e-03  4.956451e+02  4.923977e-01  1.502239e+00
1.851482e-02  9.117720e-03  4.891580e+02  4.924553e-01  1.508826e+00
1.860879e-02  9.164920e-03  4.827602e+02  4.925050e-01  1.515409e+00
1.870323e-02  9.212211e-03  4.764506e+02  4.925467e-01  1.521987e+00
1.879814e-02  9.259595e-03  4.702278e+02  4.925805e-01  1.528560e+00
1.889352e-02  9.307072e-03  4.640907e+02  4.926065e-01  1.535129e+00
1.898939e-02  9.354644e-03  4.580381e+02  4.926249e-01  1.541693e+00
1.908573e-02  9.402313e-03  4.520689e+02  4.926357e-01  1.548252e+00
1.918257e-02  9.450080e-03  4.461817e+02  4.926389e-01  1.554806e+00
1.927989e-02  9.497945e-03  4.403756e+02  4.926348e-01  1.561355e+00
1.937771e-02  9.545911e-03  4.346494e+02  4.926232e-01  1.567899e+00
1.947603e-02  9.593979e-03  4.290020e+02  4.926045e-01  1.574438e+00
1.957485e-02  9.642150e-03  4.234322e+02  4.925785e-01  1.580972e+00
1.967418e-02  9.690426e-03  4.179390e+02  4.925454e-01  1.587501e+00
1.977401e-02  9.738809e-03  4.125213e+02  4.925054e-01  1.594025e+00
1.987437e-02  9.787298e-03  4.071780e+02  4.924584e-01  1.600544e+00
1.997524e-02  9.835897e-03  4.019081e+02  4.924045e-01  1.607057e+00
2.007663e-02  9.884607e-03  3.967106e+02  4.923439e-01  1.613565e+00
2.017855e-02  9.933428e-03  3.915845e+02  4.922766e-01  1.620068e+00
2.028100e-02  9.982363e-03  3.865287e+02  4.922027e-01  1.626566e+00
2.038399e-02  1.003141e-02  3.815423e+02  4.921222e-01  1.633058e+00
2.048751e-02  1.008058e-02  3.766242e+02  4.920353e-01  1.639545e+00
2.059158e-02  1.012987e-02  3.717736e+02  4.919420e-01  1.646026e+00
2.069620e-02  1.017927e-02  3.669894e+02  4.918425e-01  1.652502e+00
2.080137e-02  1.022880e-02  3.622708e+02  4.917367e-01  1.658973e+00
2.090710e-02  1.027845e-02  3.576167e+02  4.916247e-01  1.665438e+00
2.101338e-02  1.032822e-02  3.530264e+02  4.915068e-01  1.671897e+00
2.112023e-02  1.037812e-02  3.484988e+02  4.913828e-01  1.678351e+00
2.122766e-02  1.042815e-02  3.440332e+02  4.912529e-01  1.684800e+00
2.133565e-02  1.047830e-02  3.396286e+02  4.911172e-01  1.691242e+00
2.144422e-02  1.052859e-02  3.352841e+02  4.909757e-01  1.697680e+00
2.155338e-02  1.057901e-02  3.309990e+02  4.908286e-01  1.704111e+00
2.166312e-02  1.062957e-02  3.267724e+02  4.906758e-01  1.710537e+00
2.177346e-02  1.068026e-02  3.226034e+02  4.905175e-01  1.716957e+00
2.188439e-02  1.073109e-02  3.184912e+02  4.903537e-01  1.723371e+00
